n,e,PrimTime,KruskalTime
10,9.0,6526,33770
10,18.0,9317,23072
10,27.0,8985,19661
10,36.0,8854,18653
10,45.0,12238,21205
20,38.0,32660,39528
20,76.0,28706,52551
20,114.0,30410,38178
20,152.0,32056,35078
20,190.0,29178,46829
30,87.0,57836,66565
30,174.0,58102,65158
30,261.0,57993,60132
30,348.0,58032,57794
30,435.0,62368,61570
40,156.0,99846,54403
40,312.0,96625,59768
40,468.0,98358,64975
40,624.0,98550,70153
40,780.0,98747,84252
50,245.0,148763,80065
50,490.0,147146,78076
50,735.0,149453,83935
50,980.0,148711,85632
50,1225.0,151767,85313
60,354.0,215181,88083
60,708.0,223822,105843
60,1062.0,211324,108430
60,1416.0,209058,121320
60,1770.0,208065,113670
70,483.0,283409,117521
70,966.0,281546,121173
70,1449.0,280381,148284
70,1932.0,301316,159708
70,2415.0,284445,149444
80,632.0,355951,120656
80,1264.0,357872,156667
80,1896.0,354854,128999
80,2528.0,120905,142884
80,3160.0,97476,179295
90,801.0,113711,70294
90,1602.0,128617,96000
90,2403.0,119959,130348
90,3204.0,112835,154178
90,4005.0,112575,150518
100,990.0,139282,71119
100,1980.0,135753,114408
100,2970.0,137767,161654
100,3960.0,137414,180947
100,4950.0,140608,189744
200,3980.0,518985,1167680
200,7960.0,523964,879802
200,11940.0,701520,1165526
200,15920.0,896456,1375360
200,19900.0,351339,1596443
300,8970.0,618921,1616202
300,17940.0,370921,2667988
300,26910.0,386125,4415040
300,35880.0,360846,4127394
300,44850.0,367094,4519547
400,15960.0,645655,3663072
400,31920.0,637995,6263481
400,47880.0,636487,9425598
400,63840.0,630120,12538975
400,79800.0,596351,14270181
500,24950.0,1041365,7066606
500,49900.0,1020586,16059076
500,74850.0,1042739,20177115
500,99800.0,959457,24980907
500,124750.0,914834,27596589
600,35940.0,1476581,11952326
600,71880.0,1414106,26641500
600,107820.0,1360100,34118563
600,143760.0,1478506,39338653
600,179700.0,1484159,46167882
700,48930.0,2036642,25318207
700,97860.0,2004219,42354719
700,146790.0,1939786,53223593
700,195720.0,1815063,63803472
700,244650.0,1854464,74660324
800,63920.0,2664296,37697033
800,127840.0,2611813,61061629
800,191760.0,2610789,78919039
800,255680.0,2426924,92489065
800,319600.0,2538875,105575593
900,80910.0,3370427,51659501
900,161820.0,3171344,83324147
900,242730.0,3282415,110996775
900,323640.0,3139020,130395187
900,404550.0,4107602,151070269
1000,99900.0,4181427,66759814
1000,199800.0,3998401,113127387
1000,299700.0,4177162,149889903
1000,399600.0,3893980,181200490
1000,499500.0,3847329,203054771

